star_score,reple
다만 악에서 구하소서
10,이정재 ㅈㄴ 지드래곤 같았음
6,"연기는 손색이 없으나, 스토리가 조금 빈약하지 않나 생각합니다."
10,"신세계가 흥행한이유 믿고보는배우 황정민,이정재 fast.박정민연기에 놀라다"
10,액션도 쩔고 계속 장소가 바뀌며 치달리는 영화라 지루하지도 않다! 황정민 이정재 박정민 연기 구멍이 없어서 더 좋은듯
10,목숨과바꾼 가족사랑  그리고 액션 특히 박정민 배우님에 충격적인 변신..좋았어요
10,역시 믿고 보는 배우 황정민. 이정재.박정민 이영화는 꼭봐야한다!!!올해 최고의 작품 강추
10,역시 박정민!!!!조연이아니라 나에겐주연  강철비2보려다 조연으로박정민이나온다해서바로선택한영화인데완전나의신의하수였다?
10,와 이거 감독판으로도 나왔으면 좋겠다
10,황정민이랑 이정재 같이 나오는 영화는 다 재밌어
10,몰입감 긴장감으로 시간 순삭ㅋㅋㅋ 존잼
강철비2: 정상회담
6,미국대통령이 너무나 쉽고 허술하게 납치되는 과정을 보면서 어이상실 한번 하고 백악관이 이 사실조차 모른다는데서 두번 어이상실.. 예의없고 안하무인의 미대통령의 코미디 캐릭터를 보면서 기대 접고 봄.. 잠수함 액션은 볼만함
1,"평점높은거 알바라고 보면되요. 개실망했습니다. 저 배우들을 데리고 이정도밖에 안되나요? 억지스러운 스토리와 웃기고 싶은 욕망, 아마추어같은 영상미, 기억나지않을 음악까지..."
1,북에서 개봉하면 인기많을듯 ㅋㅋㅋ 김정은 미화영화
2,"낚였다~억측난무, 정치 다큐 영화"
7,재미있게 봤는데 마지막에 너무 정치적인 제스쳐를 강요하는거 같아요.
4,2시간짜리 역사수업. 하품을 멈출수가없네 국뽕은 왜이리 심한거냐.문재인의 판타지 봐주느라 힘들었다.
1,전편보다 지루함 스토리도 별로임
2,방금 보다가 너무 졸려서 중간에 나왔음완전 최악.비추. 가족들하고 보려다가 혼자본게 그나마 다행.
1,잼없다. 보지마라!절대로~~
1,아 진짜 개 쓰레기 영화이런 영화에 쓴 내 Kt멤버쉽포인트가 아깝다.현실성없는건 둘째치고 내용이 너무 재미없고시나리오 쓴사람이 진짜 못배운 티 남.  저런 시나리오로 어떻게 투자를 받았지?대통령 관저 청와대가 무슨 20평대 아파트 같질않나 대통령 가족을 무슨 중산층 가정처럼 묘사해놓질않나 고증엉밍에  아무리 북한이래도 3자회담을 3류 모텔같은데서 하질않나 ㅋㅋㅋㅋ 잠수함 씬은 80년대 우뢰매보는줄 ㅋㅋㅋㅋ 암튼 대학생 독립영화도 이정도는 아니겟다. 그냥 감독의 짧고 편협한 지식으로 상상한 시나리오 쓰레기 영화.
반도
2,부산행 반도 못따라감 그래서 반도임
6,재미있게 잘 봤습니다. 다만 조금 질질 끄는 게 아쉬웠어요. 전형적인 약간의 억지 감동은 빼주셨으면
4,영상미는 좋은데 스토리가....흥미가 안생겨요배우님들 고생 많았습니다
1,진짜 재미없음 다른말필요없음
8,미안하지만 jane 명찰보고 빵터짐
1,실망대망.  교과서적 연출로도 평타 이상은 가능할 좀비소재를 이렇게까지...
